lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,BRK.A,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,RDS.A,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1586352602.577679,165.69,262.65,2020.0,1204.44,198.45,171.25,0,137.9,0.0,171.525,113.85,0.0,50.245,262.91,58.9,57.31,0.0,29.92,79.41,194.705,84.77,46.86,33.9,22.64,129.7,100.695,41.925,41.455,0.0,0.0,375.0,0.0,37.12,263.5,313.6,0.0,0.0,37.465,0.0,0.0,0.0,0.0,0.0,209.015,146.735,0.0,0.0,0.0,75.25,0.0
1586352662.802058,166.01,262.72,2024.0,1200.98,198.38,171.89,0,137.9,123.42,171.815,113.56,92.28,50.285,263.65,58.94,57.28,249.34,29.89,79.24,195.56,84.78,46.7,33.85,22.615,130.285,100.01,41.995,41.615,0.0,0.0,376.46,50.955,37.48,263.03,312.54,82.69,82.41,37.56,0.0,306.34,57.21,114.13,84.69,209.275,147.885,175.77,95.845,43.315,75.28,297.62
1586352722.96785,166.03,263.02,2026.8,1203.08,198.04,172.185,0,138.18,123.58,171.355,113.44,92.22,50.36,262.51,59.26,57.285,249.74,29.84,79.18,194.445,84.72,46.63,33.675,22.625,131.48,100.02,42.06,41.46,0.0,0.0,376.98,51.08,37.39,265.11,311.125,82.37,82.375,37.64,141.39,306.5,57.19,114.13,84.7,209.275,147.755,176.76,95.78,43.385,75.14,296.905
1586352783.171077,166.56,263.095,2028.17,1201.99,196.61,172.08,0,137.72,123.51,171.29,113.18,91.86,50.34,260.86,59.17,57.305,249.49,29.715,79.06,194.395,84.66,46.47,33.66,22.575,130.31,100.02,42.06,41.46,123.195,0.0,375.175,51.12,37.375,263.53,311.125,82.65,82.335,37.6,141.395,306.5,57.21,114.13,84.54,209.275,147.015,176.175,95.825,43.385,74.835,296.905
1586352843.373985,166.195,262.39,2028.17,1199.875,196.58,171.69,0,137.96,123.51,170.635,113.135,92.04,50.14,260.7,59.225,57.315,248.85,29.815,79.065,194.02,84.59,46.515,33.83,22.67,130.325,100.04,41.87,41.505,123.195,0.0,375.36,51.1,37.48,264.35,310.94,82.33,81.975,37.6,141.76,305.79,57.195,114.13,84.5,209.275,146.79,175.22,95.655,43.28,75.01,296.905
1586352903.577458,166.09,262.39,2025.96,1199.65,196.65,172.23,0,137.84,123.05,170.13,112.82,91.98,50.23,261.0,59.5,57.295,248.45,29.785,79.065,193.9,84.55,46.535,33.79,22.645,130.325,100.15,42.17,41.495,123.195,0.0,375.83,51.19,37.535,265.0,311.085,83.09,81.915,37.605,141.65,306.015,57.195,114.13,84.5,209.275,146.6,174.94,95.425,43.28,74.79,295.415
1586352963.804459,165.935,262.53,2025.88,1200.995,196.05,172.29,0,137.79,123.14,170.24,112.475,91.93,50.24,261.595,59.34,57.25,248.45,29.8,78.89,194.07,84.68,46.47,33.84,22.63,130.03,100.2,42.21,41.47,123.195,39.73,375.55,51.205,37.525,264.405,312.51,83.31,82.0,37.69,141.545,305.06,57.24,113.98,84.95,210.195,145.72,175.73,95.705,43.33,74.925,295.415
1586353024.026376,165.27,262.34,2022.82,1196.48,196.395,171.81,0,137.8,122.91,169.58,112.42,92.025,50.24,261.55,58.94,57.145,249.43,29.7,78.82,193.81,84.44,46.48,33.785,22.47,130.03,100.015,42.21,41.36,123.195,39.67,375.08,51.13,37.39,263.31,312.51,82.86,82.0,37.7,140.925,304.61,57.18,113.98,84.33,209.33,145.21,175.0,95.57,43.32,74.77,295.66
1586353084.273126,165.6,262.34,2023.99,1196.145,196.94,171.705,0,137.8,122.91,169.78,112.425,91.735,49.92,262.11,58.945,57.185,249.43,29.72,79.04,193.71,84.44,46.44,33.86,22.5,129.8,100.205,42.07,41.435,123.195,39.67,375.9,51.105,37.31,262.79,312.405,82.74,82.0,37.7,141.07,304.61,57.34,113.62,84.3,209.33,145.41,175.36,95.305,43.25,74.87,295.505
1586353144.506966,165.81,262.735,2023.515,1196.31,197.01,171.6,0,138.25,122.98,169.95,112.74,91.58,49.94,261.91,58.83,57.215,248.78,29.705,79.15,194.21,84.44,46.515,33.97,22.55,129.97,100.2,42.13,41.46,123.195,39.665,376.83,51.12,37.26,263.79,312.095,82.85,81.715,37.555,141.055,305.96,57.25,113.62,84.3,209.71,145.68,175.1,95.305,43.25,74.965,295.78
1586353204.798514,165.775,263.17,2023.11,1198.35,197.23,171.28,0,138.295,123.02,170.015,112.78,92.0,50.14,261.93,59.145,57.275,248.78,29.75,79.15,194.42,84.44,46.635,33.945,22.605,130.17,101.01,42.28,41.55,122.44,39.665,377.395,51.19,37.315,264.42,312.51,83.18,81.84,37.555,141.37,306.375,57.18,113.62,84.3,209.71,145.71,175.67,95.32,43.25,74.95,295.78
1586353265.045337,165.91,263.81,2023.11,1199.98,197.23,171.46,0,138.515,122.905,170.38,112.68,92.1,50.0,262.08,59.29,57.23,249.49,29.715,79.25,194.365,84.61,46.655,33.94,22.65,130.325,101.02,42.29,41.5,122.44,39.665,377.395,51.4,37.39,264.44,312.88,83.54,81.88,37.555,141.54,305.6,57.19,113.62,85.01,209.71,146.38,176.26,95.455,43.25,74.92,295.73
1586353325.406245,165.75,263.515,2021.77,1198.51,197.305,170.795,0,138.045,122.78,170.045,112.605,92.155,49.97,262.41,59.23,57.125,249.49,29.615,79.04,194.37,84.64,46.625,33.84,22.695,130.1,100.71,42.295,41.43,122.44,39.665,377.1,51.29,37.305,264.22,311.54,83.85,81.88,37.82,141.54,305.37,57.16,113.86,84.955,209.53,146.59,175.87,95.35,43.25,74.815,294.53
1586353385.649076,165.68,263.45,2022.06,1198.94,197.59,171.03,0,138.05,122.82,170.165,112.525,92.135,49.915,262.3,59.175,57.165,249.49,29.67,78.995,194.915,84.57,46.615,33.8,22.74,130.04,100.87,42.27,41.385,122.44,39.665,377.675,51.31,37.285,264.3,311.38,83.85,81.96,37.855,141.54,305.37,57.14,113.87,84.955,209.53,146.47,176.125,95.35,43.25,74.77,294.57
1586353446.188259,165.65,263.62,2022.06,1199.59,196.81,170.965,0,138.05,122.8,170.155,112.73,92.04,49.905,261.9,59.17,57.135,249.96,29.595,78.96,194.97,84.43,46.595,33.81,22.685,130.04,101.085,42.21,41.355,122.44,39.665,377.535,51.27,37.215,264.18,311.435,83.65,81.79,37.855,141.33,305.37,57.03,113.87,84.955,208.94,146.775,176.03,95.24,43.25,74.77,293.74
1586353506.421856,165.81,263.62,2023.855,1196.495,196.76,170.82,0,138.09,122.82,170.05,112.58,91.93,49.92,261.58,59.185,57.04,249.96,29.595,78.85,194.88,84.43,46.615,33.75,22.7,130.165,101.215,42.28,41.395,122.44,39.665,377.64,51.23,37.295,264.59,311.09,83.885,81.78,37.855,141.28,305.15,57.0,113.8,84.955,208.7,146.44,176.325,95.29,43.25,74.935,294.61
1586353566.860442,165.66,263.42,2021.665,1197.57,196.47,171.035,0,137.89,122.635,170.1,112.5,92.05,49.9,261.87,59.055,57.085,249.96,29.605,78.88,194.565,84.37,46.605,33.75,22.69,129.865,101.375,42.38,41.34,122.44,39.665,377.0,51.265,37.265,264.01,311.06,83.84,81.85,37.855,141.3,305.06,57.0,113.8,85.05,208.7,146.53,177.11,95.29,43.17,75.14,294.57
1586353627.084237,165.45,262.72,2021.49,1198.11,196.21,170.78,0,137.72,122.3,169.97,112.43,91.84,49.96,261.375,58.9,57.04,248.87,29.53,78.74,194.38,84.3,46.605,33.725,22.68,129.79,101.23,42.16,41.255,122.44,39.625,376.22,51.28,37.225,262.89,310.785,83.59,81.73,37.855,141.295,304.135,56.84,113.8,84.81,208.575,146.45,176.99,95.15,43.17,74.72,294.215
1586353687.384684,165.62,263.16,2021.49,1198.11,196.15,170.94,0,137.69,122.49,169.77,112.345,91.82,49.97,261.63,58.985,56.995,248.87,29.43,78.86,194.19,84.3,46.53,33.645,22.65,129.895,101.09,42.17,41.275,122.44,39.64,376.905,51.285,37.185,263.01,310.785,83.59,81.73,37.855,141.305,304.555,56.88,113.8,84.81,208.575,146.45,176.47,95.26,43.11,74.86,293.93
1586353747.658747,165.695,263.38,2022.1,1197.25,196.335,170.92,0,137.69,122.49,169.97,112.4,91.82,49.95,262.265,58.695,56.995,248.87,29.455,78.86,193.84,84.335,46.59,33.695,22.635,130.25,101.16,42.125,41.275,122.44,39.64,377.45,51.44,37.17,263.02,311.0,83.44,81.71,37.855,141.31,304.62,57.0,113.755,84.8,208.575,146.32,176.47,95.465,43.11,74.86,294.25
1586353807.966969,165.06,262.69,2019.34,1194.0,195.96,169.885,0,137.64,122.49,169.55,112.54,91.57,49.95,260.965,58.555,56.93,248.87,29.335,78.82,192.79,84.215,46.435,33.655,22.59,130.04,100.82,41.97,41.135,122.285,39.64,377.45,51.34,37.09,261.58,311.0,83.14,81.65,37.585,141.29,304.51,56.91,113.415,84.61,209.27,145.97,175.72,95.285,43.03,74.94,293.73
1586353868.388619,164.84,262.04,2018.38,1193.37,195.735,170.15,0,137.5,122.49,169.235,112.44,91.395,49.95,260.67,58.635,56.915,250.21,29.295,78.615,192.69,84.13,46.385,33.59,22.55,129.94,100.685,41.965,41.05,122.285,39.64,375.84,51.265,37.07,260.935,310.77,83.13,81.61,37.585,141.215,304.335,56.795,113.415,84.61,209.27,145.63,175.72,94.89,43.01,74.82,293.62
1586353928.648098,165.09,262.31,2018.855,1193.37,195.87,170.23,0,137.61,122.49,168.95,112.38,91.51,49.8,260.865,58.66,56.9,250.515,29.35,78.71,192.95,84.1,46.44,33.54,22.645,129.93,100.755,41.965,41.095,122.285,39.64,375.84,51.275,37.165,261.305,311.0,83.35,81.375,37.585,141.29,304.815,56.755,113.415,84.67,208.73,145.63,176.03,94.89,42.97,74.68,293.49
1586353988.909862,165.0,262.555,2019.775,1193.37,196.095,170.53,0,137.46,122.02,169.17,112.46,91.57,49.86,261.56,58.665,57.005,250.01,29.42,78.765,192.7,84.1,46.44,33.555,22.64,130.13,100.675,41.965,41.085,122.285,39.64,377.51,51.33,37.285,262.07,311.86,83.17,81.33,37.655,140.97,304.835,56.82,113.24,84.84,208.73,145.65,176.03,95.055,42.95,74.81,293.66
1586354049.138534,165.03,262.555,2017.53,1193.11,196.035,170.06,0,137.69,122.02,169.16,112.57,91.345,49.86,261.19,58.71,57.025,250.01,29.44,78.74,192.39,84.16,46.585,33.6,22.635,130.13,100.69,42.045,41.045,122.285,39.64,376.57,51.31,37.26,261.9,311.29,83.1,81.315,37.655,140.97,304.96,56.84,113.24,84.84,208.73,145.88,175.96,95.195,42.95,74.81,293.35
1586354109.639071,164.77,262.365,2017.015,1191.225,196.22,169.645,0,137.56,121.96,168.99,112.53,91.3,49.86,260.915,58.62,56.935,248.92,29.365,78.8,192.48,84.16,46.6,33.595,22.61,130.13,100.255,41.985,41.015,122.265,39.64,375.93,51.35,37.19,261.63,311.18,83.0,81.33,37.605,140.97,304.6,56.74,113.24,84.84,208.88,145.57,175.92,95.15,42.95,74.7,293.25
1586354169.868277,164.89,262.505,2015.895,1191.225,196.14,169.445,0,137.59,121.92,168.85,112.56,91.26,49.83,260.66,58.545,56.935,248.6,29.41,78.575,192.46,84.16,46.6,33.565,22.59,130.0,100.155,41.995,41.025,122.265,39.64,375.64,51.31,37.205,261.44,311.18,83.0,81.3,37.605,141.255,304.71,56.7,113.27,84.62,208.88,145.715,176.13,95.09,42.9,74.7,293.57
1586354230.274101,164.57,262.23,2015.895,1189.36,196.15,169.72,0,137.59,121.92,169.08,112.39,91.365,49.83,260.88,58.61,56.99,249.22,29.425,78.5,192.9,84.09,46.545,33.515,22.595,129.795,100.04,42.015,41.045,122.265,39.57,375.645,51.3,37.205,261.4,310.72,83.1,81.29,37.605,141.255,304.41,56.74,113.27,84.445,208.88,145.51,176.27,95.09,42.96,74.68,293.18
1586354290.63918,164.345,262.11,2015.895,1189.28,195.81,169.375,0,137.59,121.92,168.925,112.33,91.205,49.83,260.09,58.69,57.015,248.78,29.455,78.46,192.2,84.09,46.505,33.535,22.565,129.635,99.99,42.02,41.04,122.265,39.57,375.17,51.26,37.18,261.24,310.72,82.94,81.18,37.49,141.13,304.545,56.72,113.27,84.445,208.88,145.43,175.81,94.84,42.87,74.56,292.96
1586354351.084978,164.45,262.305,2013.605,1189.28,195.83,169.19,0,137.64,121.92,168.99,112.47,91.205,49.83,260.42,58.61,56.99,248.61,29.405,78.4,192.2,84.2,46.565,33.54,22.525,129.675,99.92,42.01,41.02,122.265,39.57,375.3,51.215,37.14,261.205,309.84,82.99,81.18,37.49,141.13,304.545,56.73,113.3,84.44,208.88,145.23,175.89,94.785,42.92,74.56,293.015
1586354411.294107,164.44,261.54,2012.0,1186.68,195.6,169.12,0,137.43,121.92,168.955,112.38,90.89,49.83,260.24,58.525,56.96,247.56,29.335,78.55,192.265,84.21,46.53,33.53,22.495,130.08,99.69,41.95,41.02,122.265,39.44,375.93,51.2,37.055,261.015,311.01,82.81,81.18,37.49,141.13,304.63,56.735,113.275,84.27,208.88,145.18,175.76,95.0,42.91,74.55,293.325
