lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1586439003.070731,166.62,269.245,2045.42,1219.785,198.55,175.475,562.97,144.22,117.91,177.09,115.3,97.0,0.0,276.0,59.55,57.18,265.0,30.07,81.54,199.44,84.93,48.485,35.0,24.195,131.835,107.89,45.475,42.17,0.0,0.0,370.71,0.0,37.0,271.955,318.385,88.92,85.14,144.68,299.5,58.87,0.0,86.705,215.81,0.0,180.755,99.695,43.91,76.225,0.0
1586439063.287002,165.7,267.77,2043.22,1213.1,198.82,174.515,566.32,144.91,119.36,175.32,115.65,97.075,50.41,273.94,59.48,57.165,264.36,30.06,81.78,198.02,85.06,48.54,34.975,24.23,132.725,106.785,45.48,42.02,0.0,39.565,370.305,52.1,37.545,269.86,318.385,89.25,85.43,144.045,299.25,58.85,0.0,86.16,215.81,151.89,180.925,99.945,43.725,75.975,307.515
1586439125.653125,165.37,268.05,2045.94,1217.51,198.7,174.8,562.9,145.1,119.87,175.365,115.69,97.77,50.22,273.25,59.4,57.25,264.78,30.06,81.66,197.64,85.16,48.52,34.975,24.315,132.725,106.775,45.44,41.83,0.0,39.55,368.54,52.305,37.74,269.925,314.41,89.44,85.42,144.02,300.0,58.9,0.0,86.16,217.77,151.89,180.925,100.295,43.725,75.975,309.05
1586439186.59495,165.14,268.16,2048.61,1214.595,198.91,175.005,558.1,145.24,119.7,175.58,115.64,97.79,50.15,273.57,59.03,57.215,265.09,30.045,81.57,196.815,85.1,48.55,35.3,24.285,132.72,105.17,45.08,41.735,0.0,39.59,369.19,52.15,37.68,269.34,314.79,89.25,85.43,145.29,299.07,58.95,0.0,85.65,217.77,153.13,180.18,100.71,43.81,75.485,310.03
1586439249.105385,165.01,267.68,2043.48,1213.63,198.91,174.75,557.91,144.98,120.2,175.58,115.165,97.345,50.25,273.04,59.09,57.125,265.205,30.055,81.38,197.09,85.09,48.55,35.36,24.17,132.815,105.06,44.96,41.53,0.0,39.61,367.77,52.175,37.5,269.1,313.925,88.64,85.19,145.38,299.22,58.89,0.0,85.66,218.51,153.13,180.12,100.5,43.81,75.23,311.33
1586439309.329585,165.09,267.78,2041.89,1212.89,199.385,175.045,561.41,144.43,120.36,175.54,115.305,97.35,50.255,273.02,59.21,57.17,267.075,30.075,81.02,197.56,85.23,48.53,35.36,24.115,132.945,105.86,44.92,41.605,0.0,39.61,368.565,52.27,37.55,269.45,313.93,88.43,84.975,145.45,300.26,58.87,0.0,85.735,218.48,152.94,180.745,100.49,43.81,75.28,311.33
1586439369.538086,165.635,267.765,2043.005,1212.89,199.27,175.04,566.04,144.74,120.895,175.81,115.37,97.53,50.255,273.0,59.4,57.255,265.79,30.15,81.255,198.66,85.29,48.605,35.42,24.19,133.215,105.84,44.98,41.755,0.0,39.61,369.32,52.265,37.64,270.12,314.17,88.68,84.945,145.615,302.12,58.82,119.905,85.95,218.48,152.71,180.76,100.53,43.81,75.4,311.23
1586439429.848055,165.485,267.79,2044.25,1214.72,199.17,174.625,564.59,144.32,121.03,175.38,115.31,98.045,50.255,273.35,59.33,57.245,265.675,30.165,81.14,199.36,85.29,48.755,35.44,24.255,133.62,105.985,44.815,41.685,0.0,39.655,369.99,52.265,37.6,270.31,315.12,88.445,84.86,145.38,302.255,58.915,119.93,85.99,218.48,152.07,181.08,100.35,44.0,75.41,311.125
1586439490.054882,165.45,268.39,2045.07,1217.61,199.475,174.99,566.43,143.905,120.89,175.7,115.33,98.04,50.36,273.37,59.21,57.25,264.075,30.1,81.12,198.86,85.29,48.745,35.24,24.225,133.45,105.93,44.575,41.615,0.0,39.655,370.875,52.265,37.55,271.0,315.865,88.22,84.79,145.38,302.49,58.76,119.93,86.23,218.48,152.78,180.92,100.355,43.96,75.32,311.79
1586439550.34736,165.41,268.56,2045.07,1216.265,199.78,174.96,564.52,144.23,121.29,176.025,115.46,97.94,50.4,274.42,59.12,57.11,265.095,30.175,81.315,199.19,85.29,48.78,35.375,24.175,133.45,105.69,44.65,41.595,0.0,39.655,369.58,52.24,37.56,270.425,315.865,87.55,84.785,145.27,303.66,58.86,119.93,86.31,218.185,152.49,180.875,100.95,44.0,75.23,310.95
