lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1586784602.795949,164.12,268.27,2040.575,1203.025,197.1,173.84,590.49,140.36,121.39,172.1,0.0,103.04,49.01,268.32,56.665,57.295,262.075,30.515,0.0,200.25,0.0,48.31,35.94,24.79,131.66,0.0,44.39,41.12,0.0,0.0,371.14,0.0,37.51,260.7,315.385,0.0,0.0,0.0,298.47,0.0,0.0,0.0,0.0,0.0,182.8,0.0,45.43,0.0,315.94,344,325,16,3,1,658,205,700,200,100,0,176,7300,100,600,700,130,1000,0,200,0,27,223,1842,300,0,1101,9265,0,0,20,0,778,112,10,0,0,0,12,0,0,0,0,0,45,0,104,0,100
1586784662.986819,164.165,268.12,2042.0,1200.0,196.86,173.13,586.09,140.24,121.65,171.31,113.62,102.495,48.75,264.53,56.81,57.37,261.945,30.53,82.07,200.25,0.0,48.48,35.665,24.545,132.105,104.24,44.08,41.24,0.0,39.24,368.455,52.705,37.61,258.265,315.385,86.755,86.285,0.0,299.075,58.525,0.0,0.0,217.86,153.88,182.09,0.0,45.685,75.27,315.555,3945,2547,66,182,1647,1910,1120,1420,700,400,200,3087,16300,1525,6887,4100,330,19516,200,200,0,1832,3336,19970,463,2470,4801,14198,0,100,525,100,1778,3780,10,3100,1158,0,112,4800,0,0,98,100,145,0,1669,200,200
1586784723.192429,164.085,268.5,2047.0,1200.76,196.705,173.7,589.54,140.555,122.36,170.57,113.62,102.685,48.57,262.95,56.94,57.445,261.945,30.645,82.2,199.0,0.0,48.37,35.75,24.485,132.105,104.08,43.62,41.27,0.0,39.275,368.455,52.845,37.64,259.46,315.29,86.14,86.32,0.0,299.95,58.525,120.335,85.77,217.86,154.01,182.09,99.98,46.045,75.27,316.81,10690,7347,135,778,3871,2720,2336,2920,1410,1100,200,7548,22200,4667,8995,4600,330,23416,300,400,0,2632,4136,32998,463,3005,7701,22398,0,200,525,2619,2078,4980,110,6090,3935,0,489,4800,33,3,98,1000,145,316,2151,200,300
1586784783.535443,163.72,267.87,2048.43,1199.33,196.66,173.665,588.08,140.58,122.5,169.81,113.62,102.5,48.525,261.79,57.0,57.465,262.34,30.58,82.26,198.38,0.0,48.355,35.59,24.415,132.105,103.39,43.39,41.17,0.0,39.275,370.69,52.81,37.71,257.69,315.14,85.76,86.34,145.565,300.08,58.36,120.335,85.84,217.86,154.29,181.605,99.94,46.72,75.27,315.29,18826,11292,140,1090,5371,5382,3246,4020,2310,4000,200,10413,24200,5279,12300,5100,630,23516,799,700,0,2932,6284,45700,463,3121,10201,31314,0,200,728,7731,4278,6881,521,12582,5235,25,554,5051,33,629,98,1450,241,416,5651,200,400
1586784843.877106,164.03,268.04,2050.8,1200.41,197.4,174.02,589.57,140.795,123.16,170.165,113.96,102.26,48.545,261.875,57.105,57.53,261.695,30.55,81.98,198.75,84.91,48.365,35.595,24.405,132.105,103.575,43.46,41.085,0.0,39.29,371.155,52.85,37.74,259.81,315.905,85.82,86.185,145.565,301.16,58.42,120.335,85.82,217.57,154.54,181.98,100.07,46.725,75.255,315.29,20676,16573,370,1307,7672,8357,4564,4320,5579,4700,700,14311,27785,6586,17392,6600,2030,40673,1512,800,100,3332,6485,65148,463,3323,14301,32116,0,300,1793,8831,5678,7981,621,14282,5635,25,578,5101,33,1530,298,2150,341,716,12351,500,400
1586784904.208607,164.3,268.3,2052.755,1201.64,197.72,174.06,585.275,140.95,123.28,169.65,113.87,102.08,48.64,260.58,57.12,57.46,261.695,30.635,82.18,197.11,84.91,48.24,35.57,24.315,132.485,102.45,43.48,41.09,0.0,39.29,371.155,52.84,37.705,260.055,316.555,85.9,86.32,145.39,300.86,58.42,120.335,85.58,217.57,154.21,181.32,99.97,46.93,75.255,315.22,22756,18689,2572,2252,13576,10506,6109,4520,7621,7760,1300,18857,28785,8991,19192,12235,2030,43108,1912,1887,100,4256,7675,86078,763,4041,18401,33316,0,300,1793,9031,14536,8681,1421,15000,5840,125,598,5101,33,2230,298,2572,356,816,15551,500,800
1586784964.426752,164.35,268.72,2056.03,1201.59,197.47,174.025,583.12,141.02,123.805,168.55,114.1,100.92,48.8,259.05,57.175,57.585,261.695,30.665,82.24,197.05,85.18,48.235,35.55,24.035,132.585,102.13,43.115,41.055,0.0,39.23,370.815,52.84,37.665,261.14,316.52,85.9,86.355,145.515,301.4,58.62,120.335,85.04,217.57,154.11,181.32,99.95,46.885,75.255,316.075,30121,19089,3140,3853,15405,11400,7227,5425,10805,12443,2535,22118,29985,10907,22273,15346,2030,43911,2312,1991,200,4458,8475,102618,863,6906,20003,33916,0,400,4024,9031,22423,9856,2483,15000,6293,335,608,5301,33,2565,298,3072,356,1018,16944,500,900
1586785024.643107,164.5,268.83,2056.805,1202.12,197.59,173.9,583.26,141.11,124.03,168.76,113.835,100.62,48.71,259.09,57.25,57.505,263.08,30.675,82.28,197.36,85.18,48.245,35.51,24.105,132.75,102.25,42.85,41.06,0.0,39.25,370.87,52.97,37.69,260.46,316.42,85.01,86.32,145.84,301.9,58.62,120.59,85.51,217.825,153.97,180.33,99.93,47.105,75.2,316.45,34841,21133,3299,6554,17956,12165,9427,6779,14112,15081,15135,25133,31385,12509,23683,19849,2230,46119,3013,2315,200,4758,8975,108903,1447,9340,23303,35026,0,500,5313,9231,25811,10356,3283,15510,6623,635,720,5401,138,3014,347,3872,656,1568,19295,600,1000
1586785084.853825,164.96,269.19,2065.0,1206.945,197.815,173.845,584.99,141.14,124.535,169.6,114.49,99.68,48.66,259.45,57.245,57.535,264.12,30.625,82.32,198.02,85.18,48.265,35.58,23.955,133.095,102.18,42.94,41.23,0.0,39.32,372.265,52.97,37.815,260.5,318.885,84.73,86.345,146.02,303.3,58.74,120.59,85.51,217.94,154.72,181.33,99.91,47.07,75.32,315.185,38840,25390,3331,8418,20241,13360,13677,8725,14735,17291,15235,28818,34585,13209,24509,23447,2630,46422,3513,2715,200,4858,9643,119355,1747,11840,25603,36726,0,689,5638,9331,27811,10802,4083,16310,7142,838,849,5705,138,3014,1252,4472,1056,1669,20694,706,1002
1586785145.050885,165.115,269.4,2069.27,1210.24,197.635,174.13,585.41,141.08,124.47,169.41,114.475,100.085,48.77,260.25,57.53,57.545,264.0,30.59,82.305,198.27,85.18,48.36,35.56,24.035,133.035,102.315,43.015,41.33,0.0,39.32,374.14,52.95,37.885,262.82,318.735,85.31,86.3,146.39,303.35,58.77,120.59,85.5,217.54,154.72,181.33,99.89,47.0,75.265,315.12,46221,28182,3338,9315,23270,23659,14227,9825,16335,26707,16645,30229,37785,14766,31009,24844,2930,47901,3523,2818,200,4862,11069,126748,2250,32606,26803,37429,0,689,6038,9431,28211,10831,4085,17716,7490,896,1161,5805,138,3115,1259,4472,1056,2072,21694,906,1003
