bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
55.27,100,56.32,100,55.285,9,138776,8:18:14
55,100,56.32,100,55.36,100,139176,8:19:17
55,100,56.32,100,55.37,100,140787,8:21:55
55,100,56.32,100,55.365,500,143187,8:22:57
55,100,56.32,100,55.415,100,144188,8:23:58
55,100,56.32,100,55.4,100,144795,8:24:59
55,100,56.32,100,55.54,100,145950,8:26:2
55,100,56.32,100,55.56,100,146450,8:27:4
55,100,56.32,100,55.655,100,147150,8:28:6
55.75,200,56.32,100,55.76,100,148050,8:29:8
55.68,100,55.72,133,55.68,100,149459,8:30:10
55.72,100,56.32,100,55.7,100,150860,8:31:12
55,100,56.32,100,55.72,100,151560,8:32:13
55,100,56.32,100,55.69,2,152366,8:33:14
55,100,56.32,100,55.67,100,152678,8:34:18
55,100,55.77,100,55.73,91,155206,8:35:21
55,100,56.32,100,55.775,1000,156933,8:36:23
55,100,56.32,100,55.74,100,160470,8:37:24
55,100,56.32,100,55.825,100,161188,8:38:27
55.76,100,56.32,100,55.82,100,163623,8:39:28
55.76,100,55.77,100,55.75,3,165421,8:40:31
55.25,100,55.69,100,55.7,5,165827,8:41:33
55.75,100,56.32,100,55.74,4,166131,8:42:34
55.25,100,56.32,100,55.665,100,166838,8:43:35
55.25,100,55.59,100,55.63,1,166939,8:44:41
55.25,100,55.61,100,55.61,15,167481,8:45:42
55.25,100,56.32,100,55.595,100,168087,8:46:44
55.6,100,56.32,100,55.6,100,168682,8:47:49
55.25,100,56.32,100,55.525,100,169286,8:48:53
55.53,100,56.32,100,55.54,100,169818,8:49:56
55.5,100,56.32,100,55.5,100,170228,8:50:59
55.25,100,56.32,100,55.525,100,170835,8:52:1
55.45,100,56.32,100,55.44,100,172099,8:53:18
55.25,100,55.38,100,55.365,100,172918,8:54:21
55.25,100,55.47,200,55.36,6,173633,8:55:24
55.25,100,55.34,100,55.33,100,174945,8:56:26
55.25,100,55.47,200,55.33,5,175051,8:57:28
55.25,100,55.47,200,55.33,4,176068,8:58:35
55.25,100,55.47,200,55.385,100,176884,8:59:40
55.25,100,55.47,200,55.44,100,178798,9:0:43
55.25,100,55.6,200,55.415,100,179464,9:1:46
55.4,100,55.6,200,55.43,92,180464,9:2:48
55.25,100,55.6,200,55.43,300,181476,9:3:51
55.44,100,55.6,200,55.45,4,183013,9:4:54
55.41,100,55.6,200,55.415,100,184086,9:6:0
55.25,100,55.6,200,55.42,100,184759,9:7:2
55.25,100,55.6,200,55.495,900,186509,9:8:3
55.25,100,55.6,200,55.49,100,188883,9:9:5
55.25,100,55.46,100,55.455,200,189388,9:10:9
55.37,100,55.6,200,55.38,100,189896,9:11:13
55.25,100,55.6,200,55.385,100,190924,9:12:30
55.25,100,55.6,200,55.445,300,191930,9:13:47
55.25,100,55.6,200,55.315,200,192738,9:14:53
55.31,100,55.6,200,55.315,1,193655,9:15:56
55.17,100,55.19,100,55.18,100,196998,9:16:59
54.06,100,55.6,200,55.18,6,197305,9:18:1
54.06,100,55.13,100,55.115,1,200015,9:19:3
54.06,100,55.04,100,55.045,300,202865,9:20:5
54.06,100,55.6,200,55.045,400,205780,9:21:9
55.1,100,55.12,100,55.135,100,207585,9:22:11
54.06,100,55.21,100,55.17,300,210618,9:23:13
54.06,100,55.18,100,55.17,100,214294,9:24:14
55.08,100,55.6,200,55.075,800,219204,9:25:17
54.06,100,55.6,200,55.12,6,219885,9:26:20
54.06,100,55.6,200,55.03,1,224392,9:27:21
54.06,100,55.6,200,55.155,1000,226033,9:28:26
