bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
60.76,100,61,100,60.775,100,294205,8:14:55
60.78,100,61,100,60.805,100,296583,8:15:58
60.8,200,61,100,60.8,7,297985,8:17:1
60.6,200,61,100,60.92,87,300477,8:18:3
60.6,200,61,100,60.86,100,302285,8:19:5
60.6,200,60.85,100,60.84,100,303869,8:20:7
60.6,200,61,100,60.955,100,308427,8:21:8
60.6,200,60.84,100,60.86,100,312709,8:22:11
60.6,200,61,100,60.68,1,318235,8:23:13
60.6,200,61,100,60.77,8,320331,8:24:14
60.12,300,60.66,100,60.7,185,327530,8:25:15
60.67,100,61,100,60.68,100,334238,8:26:16
60.12,300,60.62,100,60.61,100,339140,8:27:19
60.12,300,61,100,60.68,100,349633,8:28:20
60.7,100,61,100,60.755,100,353683,8:29:22
60.12,300,60.82,100,60.815,100,354599,8:30:23
60.82,100,60.91,100,60.915,8,358212,8:31:26
60.82,100,61,200,60.87,100,359569,8:32:29
60.82,100,61,200,60.9,100,362059,8:33:29
60.82,100,60.89,100,60.88,100,362759,8:34:32
60.12,300,60.91,200,60.9,100,369267,8:35:33
60.12,300,60.93,100,60.92,100,371767,8:36:34
60.12,300,60.95,100,60.93,100,372887,8:37:35
60.12,300,60.81,200,60.83,50,376605,8:38:36
60.82,100,61,200,60.825,144,377064,8:39:42
60.12,300,60.83,100,60.825,100,377693,8:40:45
60.12,300,61,200,60.745,100,390797,8:41:46
60.7,200,61,200,60.695,100,396897,8:42:49
60.75,100,61,200,60.77,2,400797,8:43:51
60.79,200,61,200,60.79,100,405162,8:44:57
60.76,100,61,200,60.81,100,406262,8:45:58
60.76,100,61,200,60.84,100,406362,8:47:0
60.76,100,60.85,100,60.83,100,406769,8:48:3
60.76,100,60.83,100,60.84,100,411933,8:49:4
60.76,100,60.83,100,60.81,100,412336,8:50:6
60.81,200,61,200,60.84,79,412536,8:51:11
60.76,100,61,200,60.83,100,415119,8:52:17
60.76,100,61,200,60.875,100,418452,8:53:19
60.12,300,61,200,60.91,100,420252,8:54:22
60.87,100,61,200,60.925,100,421956,8:55:24
60.87,100,60.89,100,60.89,100,426042,8:56:27
60.87,100,61,200,60.925,100,428748,8:57:30
60.87,100,60.94,100,60.935,100,432384,8:58:47
60.87,100,60.94,100,60.94,100,433552,8:59:48
60.91,100,61,200,60.91,100,435354,9:0:53
60.89,100,60.9,100,60.895,12,436582,9:1:58
60.91,200,60.95,100,60.92,100,438911,9:3:1
60.12,300,60.95,100,60.94,12,439341,9:4:8
60.12,300,61,200,60.985,20,443608,9:5:10
60.94,100,61.2,100,60.945,315,445767,9:6:16
60.95,300,61.2,100,60.955,100,447067,9:7:20
60.96,200,61.2,100,60.96,100,448305,9:8:26
60.96,100,61.2,100,60.975,38,449579,9:9:43
60.12,300,61.2,100,61.08,23,452433,9:10:47
60.12,300,61.12,100,61.12,100,454927,9:11:48
60.12,300,61.2,100,61.15,100,455991,9:12:49
60.12,300,61.2,100,61.18,100,461981,9:13:52
61.09,100,61.1,100,61.155,100,463679,9:14:53
60.12,300,61.12,100,61.11,100,471292,9:16:12
